trigger_name,event_object_table,event_manipulation,action_statement
trg_auto_sync_property_mappings,c1_contractors,INSERT,EXECUTE FUNCTION auto_sync_property_mappings()
trg_auto_sync_property_mappings,c1_contractors,UPDATE,EXECUTE FUNCTION auto_sync_property_mappings()
conversations_touch_updated,c1_conversations,UPDATE,EXECUTE FUNCTION client1.touch_last_updated()
trg_job_completions_recompute_next_action,c1_job_completions,INSERT,EXECUTE FUNCTION c1_trigger_recompute_next_action()
trg_job_completions_recompute_next_action,c1_job_completions,UPDATE,EXECUTE FUNCTION c1_trigger_recompute_next_action()
trg_sync_landlord_to_properties,c1_landlords,UPDATE,EXECUTE FUNCTION sync_landlord_to_properties()
trg_c1_message_emit_event,c1_messages,UPDATE,EXECUTE FUNCTION trg_c1_events_on_message()
trg_c1_message_emit_event,c1_messages,INSERT,EXECUTE FUNCTION trg_c1_events_on_message()
trg_messages_recompute_next_action,c1_messages,INSERT,EXECUTE FUNCTION c1_trigger_recompute_next_action()
trg_messages_recompute_next_action,c1_messages,UPDATE,EXECUTE FUNCTION c1_trigger_recompute_next_action()
trg_c1_ledger_insert,c1_tickets,INSERT,EXECUTE FUNCTION c1_ledger_on_ticket_insert()
trg_c1_ledger_update,c1_tickets,UPDATE,EXECUTE FUNCTION c1_ledger_on_ticket_update()
trg_c1_set_sla,c1_tickets,INSERT,EXECUTE FUNCTION c1_set_sla_due_at()
trg_c1_set_sla,c1_tickets,UPDATE,EXECUTE FUNCTION c1_set_sla_due_at()
trg_c1_ticket_emit_event,c1_tickets,UPDATE,EXECUTE FUNCTION trg_c1_events_on_ticket()
trg_c1_ticket_emit_event,c1_tickets,INSERT,EXECUTE FUNCTION trg_c1_events_on_ticket()
trg_normalize_ticket_fields,c1_tickets,UPDATE,EXECUTE FUNCTION c1_normalize_ticket_fields()
trg_normalize_ticket_fields,c1_tickets,INSERT,EXECUTE FUNCTION c1_normalize_ticket_fields()
trg_same_day_reminder,c1_tickets,UPDATE,EXECUTE FUNCTION c1_trigger_same_day_reminder()
trg_tickets_recompute_next_action,c1_tickets,INSERT,EXECUTE FUNCTION c1_trigger_recompute_next_action()
trg_tickets_recompute_next_action,c1_tickets,UPDATE,EXECUTE FUNCTION c1_trigger_recompute_next_action()
